restaurant,tag,url
스타벅스 서울웨이브아트센터점,카페,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1264577661?c=14108904.2723152,4509301.8961095,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
멘야하나비 신사점,일본식라면,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1977829878?c=14107071.8087814,4507534.4215831,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
라멘모토,일본식라면,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/20550982?c=14108510.3571651,4511670.6324863,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
모던눌랑 센트럴시티점,중식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37086581?c=14108510.3571651,4511670.6324863,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
데블스도어 센트럴시티점,"맥주,호프","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36022164?c=14109684.3770428,4511313.3904039,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
오쎄,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1062655294?c=14109684.3770428,4511313.3904039,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
심온,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1607654915?c=14109684.3770428,4511313.3904039,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
미소의집,떡볶이,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/19877730?c=14109684.3770428,4511313.3904039,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
스모크벙커,"스테이크,립","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1104541194?c=14112178.0783519,4505749.3605064,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
삼산회관 교대점,"육류,고기요리","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1456587379?c=14112178.0783519,4505749.3605064,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
신미경정통춘천닭갈비,닭갈비,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/20770023?c=14112178.0783519,4505749.3605064,10,0,0,0,dh&placePath=%3Fentry%253Dbmp"
