restaurant,tag,url,review,len,rating,count
이코복스 코엑스몰점,카페,36166546,"['4.42', '999']",2,4.42,999.0
수다 삼성2호점,이자카야,49276175,"['4.7', '999']",2,4.7,999.0
정겨운오뎅집 삼성점,"오뎅,꼬치",11002997,"['4.23', '133']",2,4.23,133.0
Chai797 삼성점,중식당,1510491261,"['4.21', '349']",2,4.21,349.0
앤헤이븐,양식,1650877191,['265'],1,,265.0
로네펠트티하우스 코엑스점,"카페,디저트",36229917,"['4.45', '999']",2,4.45,999.0
꽃지 삼성점,게요리,11833930,"['4.26', '523']",2,4.26,523.0
쭈불앤쭈불 코엑스몰점,한식,36166559,"['4.36', '999']",2,4.36,999.0
배꼽집,한식,1553390566,"['4.18', '786']",2,4.18,786.0
SOUPER 강남구청점,양식,1783270812,['271'],1,,271.0
아야진생태찌개 본점,"매운탕,해물탕",12862666,"['4.24', '582']",2,4.24,582.0
오발탄 삼성점,"곱창,막창,양",37206909,"['4.38', '627']",2,4.38,627.0
더 더치 치즈앤모어,와인,1362001418,"['4.59', '337']",2,4.59,337.0
흐비지떼,"카페,디저트",1756500261,"['4.67', '434']",2,4.67,434.0
김영모과자점 강남구청점,베이커리,449478032,"['4.47', '999']",2,4.47,999.0
식물원282,와인,1087963659,"['4.41', '588']",2,4.41,588.0
노메,이자카야,36667123,"['4.24', '374']",2,4.24,374.0
쉐이크쉑 코엑스점,햄버거,1369864071,"['4.49', '999']",2,4.49,999.0
오더에스프레소,"카페,디저트",63294210,"['4.47', '861']",2,4.47,861.0
북앤레스트,북카페,1756441572,"['4.67', '601']",2,4.67,601.0
트헝뜨,프랑스음식,1042803673,['34'],1,,34.0
박서방순대국밥 삼성본점,"순대,순댓국",11721161,"['4.22', '950']",2,4.22,950.0
도원스타일 무역센터점,중식당,36700248,"['4.42', '782']",2,4.42,782.0
교토가츠규 삼성오크우드점,일식당,975637125,"['4.35', '515']",2,4.35,515.0
김돈이 본점,돼지고기구이,19578744,"['4.46', '999']",2,4.46,999.0
소문난집,한식,652328553,"['4.46', '336']",2,4.46,336.0
평가옥 삼성점,냉면,12943462,"['4.15', '999']",2,4.15,999.0
간코블랙 현대백화점 무역센터점,돈가스,1564504935,"['4.32', '856']",2,4.32,856.0
광평 평양냉면갈비 삼성점,"육류,고기요리",1648999759,['268'],1,,268.0
백세주마을 삼성점,"전통,민속주점",11678251,"['4.43', '376']",2,4.43,376.0
사이드에이,와인,1948391099,"['4.73', '312']",2,4.73,312.0
루나아시아,인도음식,18456248,"['4.46', '627']",2,4.46,627.0
투도우 테이블,양식,1012920371,['189'],1,,189.0
샤블랑157,샤브샤브,1935382742,"['4.84', '400']",2,4.84,400.0
대도식당 삼성점,소고기구이,18448423,"['4.22', '762']",2,4.22,762.0
명인등심 삼성직영점,"육류,고기요리",37349997,"['4.36', '738']",2,4.36,738.0
구을가,소고기구이,1790236927,"['4.34', '422']",2,4.34,422.0
홍대개미 파르나스몰점,덮밥,1361550586,"['4.21', '999']",2,4.21,999.0
아뜨뜨 강남구청점,한식,1072739841,['52'],1,,52.0
시마스시 코엑스몰점,"초밥,롤",1456551335,"['4.29', '970']",2,4.29,970.0
공이집,한식,1163410069,"['4.37', '344']",2,4.37,344.0
푸에르코 삼성,"육류,고기요리",1483235977,"['4.47', '370']",2,4.47,370.0
고반식당 삼성점,돼지고기구이,1712038309,"['4.48', '999']",2,4.48,999.0
Restaurant RIPE,한식,1469979556,"['4.41', '515']",2,4.41,515.0
사람사는고깃집김일도 삼성코엑스점,"육류,고기요리",1431864365,"['4.5', '624']",2,4.5,624.0
잇쇼우,"우동,소바",106592706,"['4.37', '999']",2,4.37,999.0
제주은희네해장국 선릉직영점,해장국,604701173,"['4.32', '619']",2,4.32,619.0
그랜드 인터컨티넨탈 서울 파르나스 하코네,일식당,21033823,"['4.65', '390']",2,4.65,390.0
이가네양꼬치 삼성점,양꼬치,1297821951,['45'],1,,45.0
노브랜드버거 코엑스점,햄버거,1512800005,"['4.32', '999']",2,4.32,999.0
더원 레스토랑,중식당,1281067352,"['4.35', '168']",2,4.35,168.0
불이아 삼성점,중식당,1150819537,"['4.49', '342']",2,4.49,342.0
클로리스 삼성중앙역점,"카페,디저트",1888871554,"['4.61', '395']",2,4.61,395.0
레트로오븐,베이커리,13120629,"['4.74', '352']",2,4.74,352.0
윈스커피,"카페,디저트",1372135556,['501'],1,,501.0
배산임수,한식,1828004443,['50'],1,,50.0
베커린 강남구청점,베이커리,1974285797,"['4.75', '404']",2,4.75,404.0
홍스나나,일식당,32862825,"['4.45', '380']",2,4.45,380.0
경평면옥,냉면,1124965655,"['4.36', '449']",2,4.36,449.0
사리원 삼성점,"육류,고기요리",36166495,"['4.08', '999']",2,4.08,999.0
카멜커피 현대백화점 무역센터점,"카페,디저트",1812739113,['315'],1,,315.0
